CircleNum,LoopNum,IterNum,PulseRole,V_applied,PulseDur_s_col,U_out_immediate,I_immediate,R_immediate,T_immediate,R_before,G_before,R_after_1s,G_after_1s,I_after_1s,U_after_1s,T_after_1s,R_after_5s,G_after_5s,I_after_5s,U_after_5s,T_after_5s,R_after_10s,G_after_10s,I_after_10s,U_after_10s,T_after_10s,time_stamp
1,2,9,sweep_reset,0.9,0.001,0.899417,5.5549e-05,16191.42,0,12744.42,7.84657128374614e-05,28452.07,3.51468276297647e-05,7.0273e-06,0.1999412,0,29725.73,3.36408895593144e-05,6.7262e-06,0.1999412,0,30325.44,3.29756138740279e-05,6.5932e-06,0.1999417,0,2026-06-22 10:46:12
1,2,10,fixed_set,1.5,0.001,0.85808,9.9955e-05,8584.663,0,30325.44,3.29756138740279e-05,8564.455,0.0001167616620088,2.33427e-05,0.1999175,0,8561.704,0.0001167991792288,2.33502e-05,0.1999175,0,8553.608,0.0001169097297888,2.33723e-05,0.1999175,0,2026-06-22 10:46:23
1,2,10,sweep_reset,1.0,0.001,0.999173,4.5851e-05,21791.74,0,8553.608,0.0001169097297888,45470.91,2.19920824104906e-05,4.3972e-06,0.1999447,0,42839.37,2.33430136811069e-05,4.6673e-06,0.1999442,0,42821.94,2.33525150892276e-05,4.6692e-06,0.1999442,0,2026-06-22 10:46:34
1,2,11,fixed_set,1.5,0.001,0.868542,9.99515e-05,8689.634,0,42821.94,2.33525150892276e-05,9651.524,0.0001036105800493,2.07139e-05,0.1999207,0,9450.446,0.0001058151117947,2.11546e-05,0.1999204,0,9692.59,0.0001031715980971,2.06262e-05,0.1999213,0,2026-06-22 10:46:45
1,2,12,fixed_set,1.5,0.001,0.787199,9.99515e-05,7875.81,0,73477.51,1.36096065313046e-05,7589.658,0.000131758242598,2.63402e-05,0.1999131,0,7583.677,0.0001318621560491,2.6361e-05,0.1999133,0,7579.688,0.0001319315518,2.63749e-05,0.1999135,0,2026-06-22 10:47:07
1,2,13,fixed_set,1.5,0.001,0.890781,9.99508e-05,8912.195,0,31274.58,3.19748498620925e-05,11051.74,9.0483489477675e-05,1.80899e-05,0.1999248,0,10963.17,9.1214493618178e-05,1.8236e-05,0.1999243,0,10995.06,9.09499356983955e-05,1.81831e-05,0.1999242,0,2026-06-22 10:47:29
1,2,13,sweep_reset,1.3,0.001,1.298377,5.3709e-05,24174.29,0,10995.06,9.09499356983955e-05,106673.1,9.37443460441292e-06,1.8744e-06,0.1999481,0,107182.0,9.3299248008061e-06,1.8655e-06,0.1999481,0,110639.8,9.03833882563056e-06,1.8072e-06,0.1999482,0,2026-06-22 10:47:40
1,2,14,fixed_set,1.5,0.001,0.946856,9.99474e-05,9473.543,0,110639.8,9.03833882563056e-06,10032.54,9.96756554172722e-05,1.99274e-05,0.1999225,0,10185.89,9.81750244701249e-05,1.96274e-05,0.1999225,0,10116.46,9.88488067960532e-05,1.97621e-05,0.1999225,0,2026-06-22 10:47:51
1,2,14,sweep_reset,1.4,0.001,1.398096,4.4318e-05,31546.91,0,10116.46,9.88488067960532e-05,141897.8,7.04732561040411e-06,1.4091e-06,0.1999482,0,155808.4,6.41813920173752e-06,1.2833e-06,0.1999489,0,154915.0,6.45515282574315e-06,1.2907e-06,0.1999488,0,2026-06-22 10:48:02
1,2,15,fixed_set,1.5,0.001,0.923779,9.99464e-05,9242.744,0,154915.0,6.45515282574315e-06,9997.64,0.0001000236055709,1.99969e-05,0.1999218,0,10554.47,9.47465860436384e-05,1.89421e-05,0.1999238,0,10704.62,9.34176084718561e-05,1.86764e-05,0.1999238,0,2026-06-22 10:48:13
2,1,1,sweep_set,0.1,0.001,0.0999741,8.471e-07,118019.2,0,116235.4,8.60323102944542e-06,111659.3,8.95581469702927e-06,1.7907e-06,0.1999483,0,113246.6,8.83028717859962e-06,1.7656e-06,0.1999482,0,113214.5,8.83279085276179e-06,1.7661e-06,0.1999482,0,2026-06-22 10:48:46
2,1,2,sweep_set,0.2,0.001,0.1999485,1.4877e-06,134401.1,0,145449.0,6.8752621193683e-06,127217.9,7.86052906076896e-06,1.5717e-06,0.1999483,0,124889.7,8.00706543453944e-06,1.601e-06,0.1999484,0,130395.6,7.66897042538245e-06,1.5334e-06,0.1999486,0,2026-06-22 10:49:08
2,1,4,fixed_reset,1.5,0.001,1.49875,3.7219e-05,40268.41,0,153464.4,6.51616922230824e-06,190282.7,5.25533850423606e-06,1.0508e-06,0.1999491,0,186051.2,5.37486455341325e-06,1.0747e-06,0.1999492,0,193486.7,5.16831389444339e-06,1.0334e-06,0.1999492,0,2026-06-22 10:49:41
2,1,4,sweep_set,0.4,0.001,0.399898,2.304e-06,173566.8,0,193486.7,5.16831389444339e-06,208780.7,4.78971475811701e-06,9.577e-07,0.1999493,0,202009.7,4.95025733912777e-06,9.898e-07,0.1999492,0,203884.2,4.90474494835794e-06,9.807e-07,0.1999492,0,2026-06-22 10:49:52
2,1,5,fixed_reset,1.5,0.001,1.498759,3.7075e-05,40425.06,0,203884.2,4.90474494835794e-06,136698.2,7.31538527939651e-06,1.4627e-06,0.1999484,0,132276.1,7.55994469144464e-06,1.5116e-06,0.1999485,0,132311.1,7.55794487386168e-06,1.5112e-06,0.1999485,0,2026-06-22 10:50:03
2,1,5,sweep_set,0.5,0.001,0.499871,4.2471e-06,117697.0,0,132311.1,7.55794487386168e-06,137886.1,7.25236263843854e-06,1.4501e-06,0.1999486,0,138028.9,7.2448595909987e-06,1.4486e-06,0.1999486,0,143723.9,6.95778503088213e-06,1.3912e-06,0.1999487,0,2026-06-22 10:50:14
2,1,6,fixed_reset,1.5,0.001,1.498749,3.6311e-05,41275.34,0,143723.9,6.95778503088213e-06,122158.1,8.18611291432987e-06,1.6368e-06,0.1999483,0,116867.3,8.5567134690371e-06,1.7109e-06,0.1999483,0,112882.2,8.85879261743658e-06,1.7713e-06,0.1999482,0,2026-06-22 10:50:25
2,1,6,sweep_set,0.6,0.001,0.599841,6.5499e-06,91580.18,0,112882.2,8.85879261743658e-06,105809.4,9.45095615323402e-06,1.8897e-06,0.1999481,0,107881.8,9.26940410708757e-06,1.8534e-06,0.1999481,0,110621.4,9.03984220051455e-06,1.8075e-06,0.1999481,0,2026-06-22 10:50:36
2,1,7,sweep_set,0.7,0.001,0.699746,5.38207e-05,13001.43,0,103407.1,9.67051585432722e-06,13008.22,7.68744686052358e-05,1.53694e-05,0.1999285,0,13092.48,7.63797233220902e-05,1.52705e-05,0.1999287,0,14191.49,7.04647644468622e-05,1.40881e-05,0.1999312,0,2026-06-22 10:50:58
2,1,8,fixed_reset,1.5,0.001,1.498365,4.2268e-05,35449.16,0,14191.49,7.04647644468622e-05,57681.14,1.73366892540612e-05,3.4664e-06,0.1999459,0,60083.63,1.6643468445565e-05,3.3278e-06,0.1999463,0,58993.27,1.69510861154162e-05,3.3893e-06,0.1999459,0,2026-06-22 10:51:09
2,1,8,sweep_set,0.8,0.001,0.799744,5.52301e-05,14480.22,0,58993.27,1.69510861154162e-05,19442.48,5.14337677086462e-05,1.02835e-05,0.1999367,0,21422.91,4.66789992582707e-05,9.3329e-06,0.1999379,0,21306.48,4.69340782710236e-05,9.3839e-06,0.1999379,0,2026-06-22 10:51:20
2,1,10,fixed_reset,1.5,0.001,1.498007,4.8049e-05,31176.65,0,16661.89,6.00172009297865e-05,127835.8,7.82253484548147e-06,1.5641e-06,0.1999479,0,120074.7,8.32814906054315e-06,1.6652e-06,0.1999484,0,124207.0,8.05107602631092e-06,1.6098e-06,0.1999484,0,2026-06-22 10:51:53
2,1,10,sweep_set,1.0,0.001,0.982007,9.20138e-05,10672.39,0,124207.0,8.05107602631092e-06,11149.74,8.96881900385121e-05,1.79309e-05,0.1999248,0,11177.29,8.94671248576354e-05,1.78867e-05,0.1999249,0,10638.48,9.39983907475504e-05,1.87925e-05,0.1999237,0,2026-06-22 10:52:04
2,1,11,fixed_reset,1.5,0.001,1.497465,5.004e-05,29925.36,0,10638.48,9.39983907475504e-05,51071.55,1.95803730256865e-05,3.915e-06,0.1999451,0,47934.62,2.08617487736421e-05,4.1712e-06,0.1999449,0,47966.85,2.08477312977609e-05,4.1684e-06,0.199945,0,2026-06-22 10:52:15
2,1,11,sweep_set,1.1,0.001,0.903182,9.98768e-05,9042.961,0,47966.85,2.08477312977609e-05,9408.704,0.0001062845637401,2.12484e-05,0.1999199,0,9404.872,0.000106327869215,2.12571e-05,0.1999203,0,9404.916,0.0001063273717702,2.1257e-05,0.1999203,0,2026-06-22 10:52:26
2,1,12,fixed_reset,1.5,0.001,1.497478,5.2622e-05,28457.26,0,9404.916,0.0001063273717702,105108.6,9.51396936121307e-06,1.9023e-06,0.199948,0,104569.8,9.56299046187331e-06,1.9121e-06,0.199948,0,109183.7,9.15887627915156e-06,1.8313e-06,0.1999481,0,2026-06-22 10:52:37
2,1,12,sweep_set,1.2,0.001,0.88593,9.99328e-05,8865.257,0,109183.7,9.15887627915156e-06,9014.257,0.0001109353771475,2.21781e-05,0.1999191,0,9011.734,0.0001109664355383,2.21843e-05,0.199919,0,9014.09,0.0001109374323975,2.21785e-05,0.199919,0,2026-06-22 10:52:48
2,1,13,fixed_reset,1.5,0.001,1.497895,5.0819e-05,29475.1,0,9014.09,0.0001109374323975,102679.6,9.73903287507937e-06,1.9473e-06,0.1999479,0,109831.5,9.10485607498759e-06,1.8205e-06,0.1999482,0,104564.2,9.56350261370527e-06,1.9122e-06,0.1999477,0,2026-06-22 10:52:59
2,1,13,sweep_set,1.3,0.001,0.932577,9.99395e-05,9331.416,0,104564.2,9.56350261370527e-06,9386.713,0.0001065335650509,2.12982e-05,0.1999201,0,9891.174,0.0001011002333999,2.02121e-05,0.1999214,0,9790.326,0.0001021416447215,2.04203e-05,0.1999214,0,2026-06-22 10:53:10
2,1,14,fixed_reset,1.5,0.001,1.497778,5.9327e-05,25246.14,0,9790.326,0.0001021416447215,70895.51,1.41052656226043e-05,2.8203e-06,0.1999466,0,72920.06,1.3713647520312e-05,2.742e-06,0.1999468,0,70294.86,1.42257911887156e-05,2.8444e-06,0.1999467,0,2026-06-22 10:53:20
2,1,14,sweep_set,1.4,0.001,0.919684,9.99429e-05,9202.094,0,70294.86,1.42257911887156e-05,9936.871,0.000100635300589,2.01192e-05,0.1999219,0,9932.038,0.0001006842704387,2.0129e-05,0.199922,0,9942.411,0.0001005792257029,2.0108e-05,0.199922,0,2026-06-22 10:53:31
2,1,15,sweep_set,1.5,0.001,0.946876,9.9946e-05,9473.876,0,114840.2,8.70775216344102e-06,10381.95,9.63210186910937e-05,1.92568e-05,0.1999231,0,10408.65,9.6073938503072e-05,1.92074e-05,0.1999232,0,10400.42,9.61499631745641e-05,1.92226e-05,0.1999231,0,2026-06-22 10:53:53
2,2,1,fixed_set,1.5,0.001,0.956426,9.99566e-05,9568.413,0,10400.42,9.61499631745641e-05,9528.805,0.0001049449537481,2.09807e-05,0.199921,0,9515.628,0.0001050902788549,2.10097e-05,0.1999205,0,9514.275,0.0001051052234668,2.10127e-05,0.1999206,0,2026-06-22 10:54:04
